store_id,lote_id,product_id,cantidad_inventario_inicial
23,13,89,12
23,13,86,20
23,13,116,4
23,13,122,35
12,13,178,37
12,13,185,13
12,13,80,17
12,13,251,4
12,13,200,5
12,13,200,16
12,13,15,18
12,13,15,11
12,13,15,15
12,13,83,64
12,13,85,55
12,13,86,100
12,13,86,119
12,13,86,100
12,13,87,6
12,13,87,10
12,13,88,8
12,13,89,4
12,13,89,20
12,13,91,12
12,13,91,20
12,13,92,4
12,13,93,8
12,13,93,40
12,13,94,20
12,13,96,214
12,13,97,83
12,13,97,200
12,13,98,4
12,13,99,8
12,13,100,4
12,13,102,30
12,13,102,20
12,13,103,8
12,13,104,14
12,13,104,20
12,13,101,3
12,13,106,47
12,13,107,10
12,13,109,11
12,13,110,64
12,13,110,100
12,13,111,2
12,13,111,3
12,13,90,16
12,13,113,44
12,13,113,100
12,13,115,4,82
12,13,22,0,5
12,13,520,10
12,13,116,24
12,13,117,1
12,13,118,1,91
12,13,118,9,775
12,13,119,4
12,13,122,6
12,13,126,12
12,13,127,10
12,13,124,58
12,13,125,41
12,13,125,30
12,13,128,26
12,13,128,5
12,13,128,14
12,13,130,3
12,13,130,94
12,13,129,5
12,13,379,15
12,13,294,2
12,13,299,3
12,13,303,2
12,13,307,2
12,13,138,6
12,13,139,19
12,13,140,4
12,13,308,1
12,13,141,4
12,13,326,2
12,13,166,3
12,13,166,2
12,13,359,4
12,13,260,49
12,13,144,11
12,13,145,5
12,13,145,10
12,13,146,30
12,13,146,30
12,13,147,20
12,13,147,30
12,13,148,8
12,13,149,12
12,13,150,9
12,13,151,7
12,13,152,6
12,13,335,9
12,13,375,24
12,13,427,6
12,13,427,7
12,13,392,6
12,13,402,14
12,13,411,1
12,13,411,7
12,13,416,8
12,13,416,2
12,13,416,2
12,13,422,16
12,13,422,7
12,13,429,3
12,13,445,3
12,13,445,4
12,13,377,9
12,13,448,2
12,13,452,20
12,13,452,5
12,13,444,9
12,13,444,2
12,13,455,25
12,13,465,12
12,13,465,11
12,13,465,1
12,13,154,4
12,13,157,4
12,13,157,5
12,13,158,8
12,13,159,1
12,13,160,14
12,13,161,29
17,13,80,2
17,13,87,11
17,13,86,200
17,13,96,216
17,13,97,260
17,13,101,1
17,13,104,72
17,13,110,74
17,13,113,22
17,13,122,11
17,13,126,4
17,13,125,26
17,13,128,5
17,13,129,2
17,13,139,13
17,13,145,11
17,13,147,16
17,13,146,11
17,13,161,12
17,13,166,2
11,13,805,4
11,13,80,3
11,13,87,3
11,13,89,6
11,13,86,36
11,13,96,3
11,13,97,2
11,13,101,3
11,13,104,10
11,13,110,4
11,13,113,8
11,13,122,5
11,13,126,4
11,13,125,6
11,13,128,1
11,13,129,1
11,13,130,1
11,13,139,2
11,13,145,2
11,13,147,4
11,13,146,6
11,13,152,1
11,13,161,6
11,13,241,1
11,13,294,1
11,13,299,1
11,13,311,2
11,13,166,7
11,13,816,1
11,13,816,3
11,13,455,2
11,13,465,2
11,13,427,1
