store_id,lote_id,product_id,cantidad_inventario_inicial
13,581,944,18
13,618,87,6
13,514,91,20
13,542,89,120
13,560,85,29
13,570,86,197
13,522,93,38
13,522,96,101
13,521,97,100
13,624,98,10
13,542,84,9
13,523,83,24
13,480,88,35
13,582,100,30
13,471,101,17
13,530,102,20
13,530,99,39
13,471,103,4
13,530,104,20
13,529,107,14
13,529,106,18
13,529,110,60
13,549,113,130
13,483,111,2
13,272,114,18.22
13,633,116,25
13,585,117,10
13,554,122,11
13,553,126,11
13,499,127,14
13,492,124,6
13,491,125,4
13,481,129,13
13,517,862,14
13,517,805,10
13,546,863,1
13,622,138,36
13,525,139,66
13,508,140,10
13,617,141,29
13,552,150,7
13,551,151,10
13,552,149,6
13,551,144,10
13,534,145,9
13,632,147,120
13,632,146,31
13,620,148,6
13,484,152,13
13,584,155,1
13,489,157,9
13,489,158,15
13,559,159,10
13,559,160,13
13,559,161,21
13,524,163,10
13,542,90,31
13,568,94,1
13,498,143,111
13,463,109,30
13,504,931,11
13,286,168,12
13,250,167,10
13,259,169,2
13,242,864,13
13,402,865,4
13,270,866,7
13,253,867,10
13,175,1117,12
13,710,179,3
13,279,178,34
13,391,869,4
13,246,185,4
13,246,935,18
13,392,190,16
13,380,189,31
13,229,194,19
13,376,199,13
13,174,870,12
13,442,212,20
13,361,213,10
13,270,871,6
13,242,872,5
13,233,1118,10
13,304,281,24
13,306,282,28
13,234,288,20
13,273,289,3
13,290,294,47
13,270,874,9
13,368,316,27
13,385,318,26
13,1,320,91
13,270,875,7
13,408,327,6
13,340,332,5
13,227,325,6
13,283,326,7
13,281,328,5
13,260,329,28
13,280,876,2
13,253,877,6
13,253,878,6
13,224,879,6
13,1,909,19
13,1,910,8
13,1,911,9
13,1,912,2
13,1,913,1
13,1,914,2
13,1,915,4
13,1,916,13
13,1,917,8
13,1,919,8
13,1,946,12
13,225,352,1
13,189,359,7
13,292,365,10
13,123,369,2
13,1,377,8
13,125,384,10
13,111,392,11
13,415,396,17
13,124,402,17
13,287,403,21
13,46,407,12
13,112,415,4
13,76,428,7
13,300,433,8
13,155,880,11
13,159,446,24
13,328,334,22
13,1,454,22
13,362,455,3
13,413,881,7
13,242,882,13
13,270,482,2
13,221,484,1
13,237,395,9
13,115,883,9
13,252,191,5
13,174,884,6
13,258,885,2
13,301,170,19
13,121,394,18
13,312,404,4
13,334,372,17
13,288,371,12
13,111,1119,3
13,148,886,10
13,11,183,16
13,186,182,8
13,1,251,10
13,136,456,3
13,270,203,5
13,253,888,10
13,249,889,4
13,219,890,4
13,304,891,31
13,1,922,20
13,1,907,22
13,1,892,1
13,253,321,44
13,183,322,1
13,387,295,32
13,339,350,20
13,315,434,4
13,332,417,2
13,448,305,23
13,417,317,43
13,153,893,1
13,233,894,6
13,224,895,6
13,276,897,20
13,255,314,34
13,242,1120,1
13,253,899,4
